Rank,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
188,Mitchell Watt,FA,F,139.8,139.78,-,-,-,-,-1.0,,,21
188,Matt Thomas,FA,G,139.8,139.77,-,-,-,-,-1.0,,,21
188,Andre Ingram,FA,G,139.8,139.78,-,-,-,-,-1.0,,,21
188,Mike Scott,FA,F,139.8,139.81,-,-,-,-,-1.0,,,21
188,Kevin Knox,FA,F,139.8,139.78,-,-,-,-,-1.0,,,21
188,Paul Pierce,FA,F,139.8,139.76,-,-,-,-,-1.0,,,21
188,Jontay Porter,FA,F,139.8,139.81,-,-,-,-,0.03,,,21
188,Reggie Williams,FA,G,139.8,139.78,-,-,-,-,-1.0,,,21
188,Joe Young,FA,G,139.8,139.78,-,-,-,-,0.01,,,21
188,Frank Ntilikina,CHA,G,139.8,139.76,-,-,-,-,-1.0,,,21
188,Jevon Carter,CHI,G,139.8,139.76,-,-,-,-,-1.0,,,21
188,Amar'e Stoudemire,FA,C,139.8,139.78,-,-,-,-,-1.0,,,21
188,Nate Wolters,FA,G,139.8,139.81,-,-,-,-,0.07,,,21
188,Langston Galloway,FA,G,139.8,139.77,-,-,-,-,-1.0,,,21
188,Robert Woodard,FA,F,139.8,139.81,-,-,-,-,-1.0,,,21
188,Kyle Wiltjer,FA,F,139.8,139.75,-,-,-,-,-1.0,,,21
188,Nigel Williams-Goss,FA,G,139.8,139.81,-,-,-,-,0.01,,,21
188,Cassius Winston,FA,G,139.8,139.84,-,-,-,-,-1.0,,,21
188,Dylan Windler,NYK,G,139.8,139.84,-,-,-,-,0.02,,,21
188,Jeff Withey,FA,C,139.8,139.84,-,-,-,-,-1.0,,,21
188,Nate Robinson,FA,G,139.8,139.83,-,-,-,-,-1.0,,,21
188,Dante Exum,DAL,G,139.8,139.83,-,-,-,-,-1.0,,,21
188,Brad Wanamaker,FA,G,139.8,139.83,-,-,-,-,0.01,,,21
188,Carsen Edwards,FA,G,139.8,139.83,-,-,-,-,-1.0,,,21
188,Austin Rivers,FA,G,139.8,139.83,-,-,-,-,-1.0,,,21
188,Mo Williams,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
188,Semi Ojeleye,FA,F,139.8,139.82,-,-,-,-,-1.0,,,21
188,Justin Wright-Foreman,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
188,Quinndary Weatherspoon,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
188,Raul Neto,FA,G,139.8,139.79,-,-,-,-,-1.0,,,21
188,Shawn Long,FA,C,139.8,139.79,-,-,-,-,-1.0,,,21
188,Georges Niang,CLE,F,139.8,139.82,-,-,-,-,-1.0,,,21
188,Manu Ginobili,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
223,Mario Chalmers,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Marcus Thornton,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Jamil Wilson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
223,Vince Hunter,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
223,Jawun Evans,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,E'Twaun Moore,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Zach Norvell,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Amile Jefferson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
223,Will Magnay,FA,C,139.9,139.92,-,-,-,-,-1.0,,,21
223,O.J. Mayo,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Nikola Radicevic,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Axel Toupane,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Juancho Hernangomez,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Andre Roberson,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Rondae Hollis-Jefferson,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Festus Ezeli,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
223,Skal Labissiere,SAC,C,139.9,139.9,-,-,-,-,-1.0,,,21
223,Wesley Johnson,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
223,Rayjon Tucker,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,Bryce Cotton,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Saben Lee,PHO,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,Grant Riller,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Nassir Little,POR,F,139.9,139.9,-,-,-,-,-1.0,,,21
223,Shaun Livingston,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Didi Louzada,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,DeMarre Carroll,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Sonny Weems,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Jahmi'us Ramsey,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,Kadeem Allen,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Damien Inglis,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Devon Hall,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Isaiah Joe,OKC,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Kelan Martin,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Timofey Mozgov,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
223,Henry Ellenson,FA,F,139.9,139.91,-,-,-,-,0.01,,,21
223,Abdel Nader,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Mike Tobey,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
223,Josh McRoberts,FA,F,139.9,139.91,-,-,-,-,-1.0,,,21
223,Terrance Ferguson,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Jalen Lecque,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Jorge Gutierrez,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Marcus Thornton,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,D.J. Wilson,FA,C,139.9,139.91,-,-,-,-,-1.0,,,21
223,Harry Giles,BKN,C,139.9,139.91,-,-,-,-,-1.0,,,21
223,Chris Clemons,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,JP Tokoto,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Dee Bost,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Romeo Langford,UTA,F,139.9,139.92,-,-,-,-,-1.0,,,21
223,Steve Novak,FA,F,139.9,139.94,-,-,-,-,-1.0,,,21
223,Patrick Patterson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
223,Rodney Purvis,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Devontae Cacok,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Pierre Jackson,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Tyreke Evans,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Tyson Chandler,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
223,Chasson Randle,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Hollis Thompson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Kyle Singler,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,CJ Elleby,FA,F,139.9,139.94,-,-,-,-,-1.0,,,21
