"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*05qsx*",11,5,125,"F","Obi Toppin","IND","Dino’s Destroyers","Oct 7, 2023 10:56:36"
"*06218*",11,6,126,"F","Jeremy Sochan","SA","Billsville Trojans 2","Oct 8, 2023 5:27:31"
"*051oj*",11,7,127,"G","RJ Barrett","NY","Jitters & Tingles","Oct 8, 2023 5:36:27"
"*042nf*",11,8,128,"G","Caris LeVert","CLE","Bad Habits","Oct 8, 2023 5:36:28"
"*0621g*",11,9,129,"F","Tari Eason","HOU","New Team 28","Oct 8, 2023 5:40:22"
"*06ca8*",11,10,130,"F","Amen Thompson","HOU","Markelle magic","Oct 8, 2023 10:04:51"
"*04qs4*",11,11,131,"C","Robert Williams","POR","Harbalibir","Oct 8, 2023 11:46:24"
"*031m4*",11,12,132,"G","Dennis Schroder","TOR","Vucci mane","Oct 8, 2023 11:48:46"
"*03byk*",12,1,133,"G","Jordan Clarkson","UTA","Vucci mane","Oct 8, 2023 11:49:33"
"*03nwq*",12,2,134,"F","Christian Wood","LAL","Harbalibir","Oct 8, 2023 11:53:38"
"*05uif*",12,3,135,"G","Jalen Suggs","ORL","Markelle magic","Oct 8, 2023 12:30:35"
"*05uiz*",12,4,136,"G","Quentin Grimes","NY","New Team 28","Oct 8, 2023 12:41:27"
"*05qtl*",12,5,137,"G","Cole Anthony","ORL","Bad Habits","Oct 8, 2023 1:21:47"
"*06cby*",12,6,138,"G","Keyonte George","UTA","Jitters & Tingles","Oct 8, 2023 4:12:31"
"*051on*",12,7,139,"G","Coby White","CHI","Billsville Trojans 2","Oct 8, 2023 6:05:29"
