Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
Juan Vaulet,FA,F,140,140,-,-,-,-,-1.0,,,21
Dimitrios Agravanis,FA,F,140,140,-,-,-,-,-1.0,,,21
Jonathon Simmons,FA,G,140,140,-,-,-,-,-1.0,,,21
Demetrius Jackson,FA,G,140,140,-,-,-,-,-1.0,,,21
Jabari Brown,FA,G,140,140,-,-,-,-,-1.0,,,21
Aaron Harrison,FA,G,140,140,-,-,-,-,-1.0,,,21
Marcus Eriksson,FA,G,140,140,-,-,-,-,-1.0,,,21
Shane Larkin,FA,G,140,140,-,-,-,-,-1.0,,,21
Nicolo Melli,FA,F,140,140,-,-,-,-,-1.0,,,21
Tre Jones,SAS,G,140.1,140,-,140.2,-,-,-1.0,,,21
Zach Lofton,FA,G,140,140,-,-,-,-,-1.0,,,21
Justin Robinson,FA,G,140,140,-,-,-,-,-1.0,,,21
Jalen Harris,FA,G,140,140,-,-,-,-,-1.0,,,21
Dakota Mathias,FA,G,140,140,-,-,-,-,-1.0,,,21
Jemerrio Jones,FA,F,140,140,-,-,-,-,-1.0,,,21
Vanja Marinkovic,FA,G,140,140,-,-,-,-,-1.0,,,21
Milton Doyle,FA,G,140,140,-,-,-,-,-1.0,,,21
Ben Moore,FA,F,140,140,-,-,-,-,-1.0,,,21
Jaylen Morris,FA,G,140,140,-,-,-,-,-1.0,,,21
Cody Demps,FA,G,140,140,-,-,-,-,-1.0,,,21
Zhaire Smith,FA,G,140,140,-,-,-,-,-1.0,,,21
Kevin Hervey,FA,F,140,140,-,-,-,-,-1.0,,,21
Wayne Selden,FA,G,140,140,-,-,-,-,-1.0,,,21
Brice Johnson,FA,F,140,140,-,-,-,-,-1.0,,,21
Jonathan Gibson,FA,G,140,140,-,-,-,-,-1.0,,,21
Marcus Georges-Hunt,FA,F,140,140,-,-,-,-,-1.0,,,21
Kyle Collinsworth,FA,G,140,140,-,-,-,-,-1.0,,,21
Devin Robinson,FA,F,140,140,-,-,-,-,-1.0,,,21
Tyler Dorsey,FA,G,140,140,-,-,-,-,-1.0,,,21
Arnoldas Kulboka,FA,F,140,140,-,-,-,-,-1.0,,,21
Jonas Jerebko,FA,F,140,140,-,-,-,-,-1.0,,,21
Larry Sanders,FA,C,140,140,-,-,-,-,-1.0,,,21
Manny Harris,FA,G,140,140,-,-,-,-,-1.0,,,21
MarShon Brooks,FA,G,140,140,-,-,-,-,-1.0,,,21
Terrence Jones,FA,F,140,140,-,-,-,-,-1.0,,,21
Tyler Zeller,FA,C,165.9,140,-,-,191.8,-,-1.0,,,21
Nene Hilario,FA,C,140,140,-,-,-,-,-1.0,,,21
Dahntay Jones,FA,G,140,140,-,-,-,-,-1.0,,,21
Gerald Green,FA,G,140,140,-,-,-,-,-1.0,,,21
Randy Foye,FA,G,140,140,-,-,-,-,-1.0,,,21
Spencer Hawes,FA,C,140,140,-,-,-,-,-1.0,,,21
Jason Smith,FA,C,140,140,-,-,-,-,-1.0,,,21
Jerryd Bayless,FA,G,140,140,-,-,-,-,-1.0,,,21
Norvel Pelle,FA,C,140,140,-,-,-,-,-1.0,,,21
P.J. Hairston,FA,G,140,140,-,-,-,-,-1.0,,,21
Josh Huestis,FA,F,140,140,-,-,-,-,-1.0,,,21
Shabazz Muhammad,FA,F,140,140,-,-,-,-,-1.0,,,21
Alex Abrines,FA,G,140,140,-,-,-,-,-1.0,,,21
Damjan Rudez,FA,F,140,140,-,-,-,-,-1.0,,,21
Cliff Alexander,FA,F,140,140,-,-,-,-,-1.0,,,21
Dakari Johnson,FA,C,140,140,-,-,-,-,-1.0,,,21
Sean Kilpatrick,FA,G,140,140,-,-,-,-,-1.0,,,21
Alan Williams,FA,C,140,140,-,-,-,-,-1.0,,,21
Luis Montero,FA,G,140,140,-,-,-,-,-1.0,,,21
Duje Dukan,FA,F,140,140,-,-,-,-,-1.0,,,21
Marcelinho Huertas,FA,G,140,140,-,-,-,-,-1.0,,,21
Anthony Brown,FA,F,140,140,-,-,-,-,-1.0,,,21
Michael Frazier,FA,G,140,140,-,-,-,-,-1.0,,,21
Andre Dawkins,FA,G,140,140,-,-,-,-,-1.0,,,21
Thon Maker,FA,C,140,140,-,-,-,-,-1.0,,,21
Marques Bolden,FA,C,140,140,-,-,-,-,-1.0,,,21
Amir Coffey,LAC,F,140,140,-,-,-,-,-1.0,,,21
Sean McDermott,FA,F,140,140,-,-,-,-,-1.0,,,21
Sam Merrill,CLE,G,140,140,-,-,-,-,-1.0,,,21
Nate Darling,FA,G,140,140,-,-,-,-,-1.0,,,21
Cassius Stanley,FA,G,140,140,-,-,-,-,-1.0,,,21
Tyler Bey,FA,F,140,140,-,-,-,-,-1.0,,,21
Mamadi Diakite,FA,F,140,140,-,-,-,-,-1.0,,,21
Naji Marshall,NOP,F,163.9,140,-,-,187.7,-,-1.0,,,21
Naz Mitrou-Long,FA,G,140,140,-,-,-,-,-1.0,,,21
Josh Gray,FA,G,166,140,-,-,191.9,-,-1.0,,,21
Rawle Alkins,FA,G,140,140,-,-,-,-,-1.0,,,21
Omari Spellman,FA,F,140,140,-,-,-,-,-1.0,,,21
Melvin Frazier,FA,G,140,140,-,-,-,-,-1.0,,,21
Vincent Edwards,FA,F,140,140,-,-,-,-,-1.0,,,21
Thomas Welsh,FA,C,140,140,-,-,-,-,-1.0,,,21
Yante Maten,FA,F,140,140,-,-,-,-,-1.0,,,21
Ben Bentil,FA,F,140,140,-,-,-,-,-1.0,,,21
Mindaugas Kuzminskas,FA,F,140,140,-,-,-,-,-1.0,,,21
Richard Solomon,FA,F,140,140,-,-,-,-,-1.0,,,21
T.J. Leaf,FA,F,140,140,-,-,-,-,-1.0,,,21
Nigel Hayes-Davis,FA,F,140,140,-,-,-,-,-1.0,,,21
Elie Okobo,FA,G,140,140,-,-,-,-,-1.0,,,21
Nick Johnson,FA,G,140,140,-,-,-,-,-1.0,,,21
Tyler Ennis,FA,G,140,140,-,-,-,-,-1.0,,,21
James Ennis,FA,F,140,140,-,-,-,-,-1.0,,,21
Larry Drew,FA,G,140,140,-,-,-,-,-1.0,,,21
Chris Copeland,FA,F,140,140,-,-,-,-,-1.0,,,21
John Jenkins,FA,G,140,140,-,-,-,-,-1.0,,,21
Darius Miller,FA,F,140,140,-,-,-,-,-1.0,,,21
Jerian Grant,FA,G,140,140,-,-,-,-,-1.0,,,21
Will Cherry,FA,G,140,140,-,-,-,-,-1.0,,,21
Jerrelle Benimon,FA,F,140,140,-,-,-,-,-1.0,,,21
Jarell Eddie,FA,F,140,140,-,-,-,-,-1.0,,,21
Justin Anderson,FA,F,140,140,-,-,-,-,-1.0,,,21
Salah Mejri,FA,C,140,140,-,-,-,-,-1.0,,,21
Dani Diez,FA,G,140,140,-,-,-,-,-1.0,,,21
Arturas Gudaitis,FA,C,140,140,-,-,-,-,-1.0,,,21
John Holland,FA,F,140,140,-,-,-,-,-1.0,,,21
Deyonta Davis,FA,C,140,140,-,-,-,-,-1.0,,,21
Kalin Lucas,FA,G,140,140,-,-,-,-,-1.0,,,21
Iman Shumpert,FA,G,140,140,-,-,-,-,-1.0,,,21
Justin Harper,FA,F,140,140,-,-,-,-,-1.0,,,21
Tyler Hansbrough,FA,F,140,140,-,-,-,-,-1.0,,,21
Jeff Ayres,FA,F,140,140,-,-,-,-,-1.0,,,21
Evan Turner,FA,F,140,140,-,-,-,-,-1.0,,,21
Monta Ellis,FA,G,140,140,-,-,-,-,-1.0,,,21
Sergio Rodriguez,FA,G,140,140,-,-,-,-,-1.0,,,21
Thabo Sefolosha,FA,F,140,140,-,-,-,-,-1.0,,,21
Kevin Martin,FA,G,140,140,-,-,-,-,-1.0,,,21
Rasual Butler,FA,F,140,140,-,-,-,-,-1.0,,,21
Channing Frye,FA,F,140,140,-,-,-,-,-1.0,,,21
Ty Lawson,FA,G,140,140,-,-,-,-,-1.0,,,21
Alexis Ajinca,FA,C,140,140,-,-,-,-,-1.0,,,21
Orlando Johnson,FA,G,140,140,-,-,-,-,-1.0,,,21
Kenneth Faried,FA,C,140,140,-,-,-,-,-1.0,,,21
Norris Cole,FA,G,140,140,-,-,-,-,-1.0,,,21
Jordan Hill,FA,F,140,140,-,-,-,-,-1.0,,,21
DeJuan Blair,FA,F,140,140,-,-,-,-,-1.0,,,21
Jamal Crawford,FA,G,140,140,-,-,-,-,-1.0,,,21
Charlie Villanueva,FA,F,140,140,-,-,-,-,-1.0,,,21
Nick Collison,FA,C,140,140,-,-,-,-,-1.0,,,21
JJ Hickson,FA,F,140,140,-,-,-,-,-1.0,,,21
Aaron Brooks,FA,G,140,140,-,-,-,-,-1.0,,,21
David Lee,FA,F,140,140,-,-,-,-,-1.0,,,21
Jose Calderon,FA,G,140,140,-,-,-,-,-1.0,,,21
Coty Clarke,FA,F,140,140,-,-,-,-,-1.0,,,21
Dragan Bender,FA,F,140,140,-,-,-,-,-1.0,,,21
Kay Felder,FA,G,140,140,-,-,-,-,-1.0,,,21
Ante Zizic,FA,C,140,140,-,-,-,-,-1.0,,,21
Malachi Richardson,FA,G,140,140,-,-,-,-,-1.0,,,21
Scott Machado,FA,G,140,140,-,-,-,-,-1.0,,,21
Brian Roberts,FA,G,140,140,-,-,-,-,-1.0,,,21
Allen Crabbe,FA,G,140,140,-,-,-,-,-1.0,,,21
Grant Jerrett,FA,F,140,140,-,-,-,-,-1.0,,,21
Jack Cooley,FA,C,140,140,-,-,-,-,-1.0,,,21
K.J. McDaniels,FA,F,140,140,-,-,-,-,-1.0,,,21
Jordan Bone,FA,G,140,140,-,-,-,-,-1.0,,,21
Goga Bitadze,ORL,C,140,140,-,-,-,-,-1.0,,,21
Jordan Loyd,FA,G,140,140,-,-,-,-,-1.0,,,21
Angel Delgado,FA,C,140,140,-,-,-,-,-1.0,,,21
Joel Berry,FA,G,140,140,-,-,-,-,-1.0,,,21
Udoka Azubuike,PHO,C,140,140,-,-,-,-,-1.0,,,21
Ashton Hagans,POR,G,140,140,-,-,-,-,-1.0,,,21
Tyler Lydon,FA,F,140,140,-,-,-,-,-1.0,,,21
Milos Teodosic,FA,G,140,140,-,-,-,-,-1.0,,,21
Rodions Kurucs,FA,F,140,140,-,-,-,-,-1.0,,,21
A.J. Hammons,FA,C,140,140,-,-,-,-,-1.0,,,21
Matt Costello,FA,F,140,140,-,-,-,-,-1.0,,,21
Vincent Poirier,FA,C,140,140,-,-,-,-,-1.0,,,21
C.J. Williams,FA,F,140,140,-,-,-,-,-1.0,,,21
R.J. Hunter,CHA,G,140,140,-,-,-,-,-1.0,,,21
Davon Reed,FA,G,140,140,-,-,-,-,-1.0,,,21
Antonius Cleveland,FA,G,140,140,-,-,-,-,-1.0,,,21
Ray Spalding,FA,F,140,140,-,-,-,-,-1.0,,,21
Khyri Thomas,FA,G,140,140,-,-,-,-,-1.0,,,21
Chris McCullough,FA,F,140,140,-,-,-,-,-1.0,,,21
Luka Mitrovic,FA,F,140,140,-,-,-,-,-1.0,,,21
Quinn Cook,FA,G,140,140,-,-,-,-,-1.0,,,21
Rashad Vaughn,FA,G,140,140,-,-,-,-,-1.0,,,21
Cheick Diallo,FA,F,165.9,140,-,-,191.8,-,-1.0,,,21
Joel Bolomboy,FA,F,140,140,-,-,-,-,-1.0,,,21
Jordan Adams,FA,G,140,140,-,-,-,-,-1.0,,,21
Cleanthony Early,FA,F,140,140,-,-,-,-,-1.0,,,21
Erick Green,FA,G,140,140,-,-,-,-,-1.0,,,21
Isaiah Canaan,FA,G,140,140,-,-,-,-,-1.0,,,21
Vander Blue,FA,G,140,140,-,-,-,-,-1.0,,,21
Andrew Nicholson,FA,F,140,140,-,-,-,-,-1.0,,,21
Drew Gordon,FA,F,140,140,-,-,-,-,-1.0,,,21
Eric Griffin,FA,F,140,140,-,-,-,-,-1.0,,,21
Devin Harris,FA,G,140,140,-,-,-,-,-1.0,,,21
Jameer Nelson,FA,G,140,140,-,-,-,-,-1.0,,,21
Corey Brewer,FA,F,140,140,-,-,-,-,-1.0,,,21
Andre Miller,FA,G,140,140,-,-,-,-,-1.0,,,21
C.J. Miles,FA,G,140,140,-,-,-,-,-1.0,,,21
Ronnie Price,FA,G,140,140,-,-,-,-,-1.0,,,21
Chase Budinger,FA,F,140,140,-,-,-,-,-1.0,,,21
Kosta Koufos,FA,C,140,140,-,-,-,-,-1.0,,,21
Courtney Lee,FA,G,140,140,-,-,-,-,-1.0,,,21
Michael Kidd-Gilchrist,FA,F,140,140,-,-,-,-,-1.0,,,21
Lavoy Allen,FA,C,140,140,-,-,-,-,-1.0,,,21
Gary Neal,FA,G,140,140,-,-,-,-,-1.0,,,21
Donatas Motiejunas,FA,C,140,140,-,-,-,-,-1.0,,,21
Lance Stephenson,FA,G,140,140,-,-,-,-,-1.0,,,21
Lou Amundson,FA,C,140,140,-,-,-,-,-1.0,,,21
Nate Hinton,HOU,F,140,140,-,-,-,-,-1.0,,,21
Josh Hall,FA,F,140,140,-,-,-,-,-1.0,,,21
Jalen McDaniels,TOR,F,140,140,-,-,-,-,-1.0,,,21
Caleb Martin,MIA,F,140,140,-,-,-,-,-1.0,,,21
Killian Tillie,FA,F,140,140,-,-,-,-,-1.0,,,21
Xavier Rathan-Mayes,FA,G,140,140,-,-,-,-,-1.0,,,21
Billy Garrett,FA,G,140,140,-,-,-,-,-1.0,,,21
Dusty Hannahs,FA,G,140,140,-,-,-,-,-1.0,,,21
Okaro White,FA,F,140,140,-,-,-,-,-1.0,,,21
Nicolas Brussino,FA,F,140,140,-,-,-,-,-1.0,,,21
Sasha Vezenkov,SAC,F,140,140,-,-,-,-,-1.0,,,21
Andrew White,FA,F,140,140,-,-,-,-,-1.0,,,21
Isaac Humphries,FA,C,140,140,-,-,-,-,-1.0,,,21
Kobi Simmons,FA,G,140,140,-,-,-,-,-1.0,,,21
Tyler Davis,FA,C,140,140,-,-,-,-,-1.0,,,21
Ty Jerome,CLE,G,140,140,-,-,-,-,-1.0,,,21
Bruno Fernando,ATL,C,140,140,-,-,-,-,-1.0,,,21
Deng Adel,FA,F,140,140,-,-,-,-,-1.0,,,21
Gary Clark,FA,F,140,140,-,-,-,-,-1.0,,,21
Cam Reynolds,FA,F,140,140,-,-,-,-,-1.0,,,21
Daryl Macon,FA,G,140,140,-,-,-,-,-1.0,,,21
Jonah Bolden,FA,F,140,140,-,-,-,-,-1.0,,,21
Nicolas Laprovittola,FA,G,140,140,-,-,-,-,-1.0,,,21
Josh Magette,FA,G,140,140,-,-,-,-,-1.0,,,21
Caleb Swanigan,FA,F,140,140,-,-,-,-,-1.0,,,21
Jamel Artis,FA,G,140,140,-,-,-,-,-1.0,,,21
Isaiah Hicks,FA,C,140,140,-,-,-,-,-1.0,,,21
Jahlil Okafor,FA,C,140,140,-,-,-,-,-1.0,,,21
Keenan Evans,FA,G,140,140,-,-,-,-,-1.0,,,21
Jaylen Hands,FA,G,140,140,-,-,-,-,-1.0,,,21
Marcus Derrickson,FA,F,140,140,-,-,-,-,-1.0,,,21
Brandon Sampson,FA,G,140,140,-,-,-,-,-1.0,,,21
Wenyen Gabriel,FA,F,140,140,-,-,-,-,-1.0,,,21
Jared Terrell,FA,G,140,140,-,-,-,-,-1.0,,,21
Joe Chealey,FA,G,140,140,-,-,-,-,-1.0,,,21
Vernon Carey,FA,C,140,140,-,-,-,-,-1.0,,,21
Nick Richards,CHA,C,140,140,-,-,-,-,-1.0,,,21
Yam Madar,FA,G,140,140,-,-,-,-,-1.0,,,21
Dean Wade,CLE,F,140,140,-,-,-,-,-1.0,,,21
Cody Martin,CHA,G,140,140,-,-,-,-,-1.0,,,21
Marko Guduric,FA,G,140,140,-,-,-,-,-1.0,,,21
Trey McKinney-Jones,FA,G,140,140,-,-,-,-,-1.0,,,21
Kendall Marshall,FA,G,140,140,-,-,-,-,-1.0,,,21
John Henson,FA,C,140,140,-,-,-,-,-1.0,,,21
Archie Goodwin,FA,G,140,140,-,-,-,-,-1.0,,,21
Keith Appling,FA,G,140,140,-,-,-,-,-1.0,,,21
Andrew Harrison,FA,G,140,140,-,-,-,-,-1.0,,,21
Joffrey Lauvergne,FA,F,140,140,-,-,-,-,-1.0,,,21
Matthew Dellavedova,FA,G,140,140,-,-,-,-,-1.0,,,21
Noah Vonleh,FA,C,140,140,-,-,-,-,-1.0,,,21
Cady Lalanne,FA,C,140,140,-,-,-,-,-1.0,,,21
Daniel Hamilton,FA,G,140,140,-,-,-,-,-1.0,,,21
Petr Cornelie,FA,F,140,140,-,-,-,-,-1.0,,,21
Zhou Qi,FA,F,140,140,-,-,-,-,-1.0,,,21
Isaiah Cousins,FA,G,140,140,-,-,-,-,-1.0,,,21
Georgios Papagiannis,FA,C,140,140,-,-,-,-,-1.0,,,21
Zoran Dragic,FA,G,140,140,-,-,-,-,-1.0,,,21
Chris Kaman,FA,C,140,140,-,-,-,-,-1.0,,,21
Boris Diaw,FA,C,140,140,-,-,-,-,-1.0,,,21
Matt Barnes,FA,F,140,140,-,-,-,-,-1.0,,,21
Kris Humphries,FA,F,140,140,-,-,-,-,-1.0,,,21
Ian Mahinmi,FA,C,140,140,-,-,-,-,-1.0,,,21
Amir Johnson,FA,F,140,140,-,-,-,-,-1.0,,,21
John Lucas,FA,G,140,140,-,-,-,-,-1.0,,,21
Nikola Pekovic,FA,C,140,140,-,-,-,-,-1.0,,,21
Ryan Anderson,FA,F,140,140,-,-,-,-,-1.0,,,21
Miles Plumlee,FA,C,140,140,-,-,-,-,-1.0,,,21
Justin Hamilton,FA,C,140,140,-,-,-,-,-1.0,,,21
Quincy Acy,FA,F,140,140,-,-,-,-,-1.0,,,21
Robert Sacre,FA,C,140,140,-,-,-,-,-1.0,,,21
Lucas Nogueira,FA,C,140,140,-,-,-,-,-1.0,,,21
Chandler Parsons,FA,F,140,140,-,-,-,-,-1.0,,,21
Andrew Goudelock,FA,G,140,140,-,-,-,-,-1.0,,,21
Darren Collison,FA,G,140,140,-,-,-,-,-1.0,,,21
Greg Monroe,FA,C,140,140,-,-,-,-,-1.0,,,21
Kevin Seraphin,FA,F,140,140,-,-,-,-,-1.0,,,21
Jordan Crawford,FA,G,140,140,-,-,-,-,-1.0,,,21
Jameel Warney,FA,F,140,140,-,-,-,-,-1.0,,,21
Issuf Sanon,FA,G,140,140,-,-,-,-,-1.0,,,21
Isaiah Taylor,FA,G,140,140.01,-,-,-,-,-1.0,,,21
Brandon Rush,FA,G,140,140.01,-,-,-,-,-1.0,,,21
Theo Maledon,CHA,G,166,140.01,-,-,191.9,-,-1.0,,,21
Cody Zeller,NOP,C,144.8,140.01,149.64,-,-,-,0.11,,,21
Rajon Rondo,FA,G,165.8,140.02,-,-,191.5,-,0.02,,,21
Dario Saric,GSW,F,140,140.03,-,-,-,-,0.06,,,21
Anfernee Simons,POR,G,145.4,140.04,-,104.4,191.9,-,0.01,,,21
Tyus Jones,WAS,G,142,140.04,-,144,-,-,0.11,,,21
Talen Horton-Tucker,UTA,F,165.9,140.04,-,-,191.8,-,-1.0,,,21
Jalen Brunson,NYK,G,137.1,140.04,-,95.6,175.8,-,0.11,,,21
Kent Bazemore,FA,F,166,140.04,-,-,191.9,-,0.05,,,21
Aaron Holiday,HOU,G,140,140.04,-,-,-,-,-1.0,,,21
Jordan McLaughlin,MIN,G,140.1,140.05,-,-,-,-,0.02,,,21
Jeff Green,HOU,F,140.1,140.05,-,-,-,-,0.04,,,21
Isaiah Roby,NYK,F,148.2,140.05,-,149.8,154.7,-,-1.0,,,21
Cameron Johnson,BKN,F,155.8,140.06,156.41,145.3,181.5,-,0.06,,,21
Killian Hayes,DET,G,145.4,140.06,150.71,137,154,-,-1.0,,,21
Khem Birch,SAS,C,164.7,140.07,-,-,189.3,-,-1.0,,,21
Elfrid Payton,FA,G,165.7,140.07,-,-,191.4,-,0.07,,,21
Malik Monk,SAC,G,160.6,140.08,-,149.8,191.9,-,0.03,,,21
Reggie Bullock,SAS,F,165.8,140.09,-,-,191.5,-,0.02,,,21
Bruce Brown,IND,G,158.1,140.09,-,143.3,190.9,-,0.06,,,21
Nemanja Bjelica,FA,F,166,140.09,-,-,191.9,-,0.03,,,21
Mike Muscala,WAS,C,140.1,140.09,-,-,-,-,0.02,,,21
Eric Paschall,FA,F,166,140.1,-,-,191.8,-,0.02,,,21
Dennis Smith,BKN,G,140.1,140.11,-,-,-,-,0.06,,,21
Darius Bazley,BKN,F,128.4,140.11,131.22,-,113.9,-,0.07,,,21
Josh Jackson,FA,F,160.7,140.14,150.57,-,191.4,-,0.07,,,21
Aleksej Pokusevski,OKC,F,145.6,140.14,150.07,120,172.3,-,-1.0,,,21
Trevor Ariza,FA,F,140.2,140.17,-,-,-,-,0.03,,,21
Maxi Kleber,DAL,F,166.1,140.2,-,-,191.9,-,0.06,,,21
Pat Connaughton,MIL,G,165.9,140.2,-,-,191.6,-,0.02,,,21
Isaiah Stewart,DET,C,111.4,140.2,111.02,106.4,88.1,-,0.02,,,21
Trey Burke,FA,G,140.2,140.21,-,-,-,-,0.02,,,21
Frank Kaminsky,FA,C,140.2,140.21,-,-,-,-,0.03,,,21
Jarrett Culver,FA,F,140.2,140.22,-,-,-,-,0.02,,,21
Shabazz Napier,FA,G,140.2,140.22,-,-,-,-,0.06,,,21
George Hill,FA,G,166.1,140.22,-,-,191.9,-,0.06,,,21
Doug McDermott,SAS,F,160.9,140.22,152.92,-,189.6,-,0.03,,,21
Cam Reddish,LAL,F,151.5,140.23,151.84,-,162.4,-,0.02,,,21
Dewayne Dedmon,FA,C,140.2,140.23,-,-,-,-,0.07,,,21
Nickeil Alexander-Walker,MIN,G,118.6,140.25,119.39,-,96.2,-,0.04,,,21
P.J. Tucker,PHI,F,153.8,140.26,-,129.3,191.9,-,0.1,,,21
Aron Baynes,FA,C,140.3,140.27,-,-,-,-,0.03,,,21
Denzel Valentine,FA,G,165.9,140.27,-,-,191.6,-,0.03,,,21
James Johnson,FA,F,140.3,140.27,-,-,-,-,0.06,,,21
Justise Winslow,FA,F,165.7,140.27,-,-,191.1,-,0.05,,,21
Monte Morris,DET,G,144.1,140.28,146.44,135.9,153.8,-,0.11,,,21
Willy Hernangomez,FA,C,140.3,140.28,-,-,-,-,0.06,,,21
Moritz Wagner,ORL,C,140.3,140.28,-,-,-,-,0.03,,,21
Dorian Finney-Smith,BKN,F,158.6,140.29,-,150.3,185.1,-,0.07,,,21
Al-Farouq Aminu,FA,F,165.9,140.29,-,-,191.6,-,0.02,,,21
John Konchar,MEM,G,140.3,140.29,-,-,-,-,0.02,,,21
Michael Carter-Williams,FA,G,140.3,140.3,-,-,-,-,0.05,,,21
Sterling Brown,FA,G,140.3,140.31,-,-,-,-,0.02,,,21
JaMychal Green,FA,F,140.3,140.31,-,-,-,-,0.03,,,21
Taurean Prince,LAL,F,166,140.31,-,-,191.6,-,0.06,,,21
Gary Harris,ORL,G,165.9,140.32,-,-,191.5,-,0.03,,,21
Alex Len,SAC,C,140.3,140.33,-,-,-,-,0.02,,,21
Luke Kennard,MEM,G,166,140.34,-,-,191.6,-,0.03,,,21
Marvin Williams,FA,F,140.4,140.35,-,-,-,-,0.03,,,21
David Nwaba,FA,F,140.4,140.36,-,-,-,-,0.03,,,21
Taj Gibson,FA,C,166.2,140.37,-,-,192,-,0.02,,,21
Grayson Allen,MIL,G,140.4,140.38,-,-,-,-,0.02,,,21
Hamidou Diallo,FA,F,140.7,140.39,-,141,-,-,0.03,,,21
Gorgui Dieng,FA,C,140.4,140.4,-,-,-,-,0.06,,,21
Kris Dunn,UTA,G,140.4,140.4,-,-,-,-,0.03,,,21
Isaac Okoro,CLE,F,165.6,140.41,-,-,190.8,-,0.06,,,21
Devin Vassell,SAS,F,155,140.42,-,132.7,191.9,-,0.02,,,21
Kenrich Williams,OKC,F,166.2,140.43,-,-,191.9,-,0.02,,,21
Lonnie Walker,BKN,F,156.8,140.44,-,138.3,191.7,-,0.03,,,21
Garrett Temple,TOR,G,140.4,140.44,-,-,-,-,0.06,,,21
Willie Cauley-Stein,FA,C,140.4,140.44,-,-,-,-,0.03,,,21
Jabari Parker,FA,F,140.5,140.45,-,-,-,-,0.03,,,21
Bismack Biyombo,FA,C,140.5,140.47,-,-,-,-,0.03,,,21
Yogi Ferrell,FA,G,140.5,140.51,-,-,-,-,0.02,,,21
Wayne Ellington,FA,G,140.6,140.61,-,-,-,-,0.02,,,21
Ayo Dosunmu,CHI,G,138.3,-,-,138.3,-,-,-1.0,,,21
Evan Mobley,CLE,F,76.1,-,94.7,45.3,88.4,-,-1.0,,,21
Franz Wagner,ORL,F,158.7,-,-,125.5,191.8,-,-1.0,,,21
Corey Kispert,WAS,G,191.8,-,-,-,191.8,-,-1.0,,,21
Joshua Primo,FA,G,191.8,-,-,-,191.8,-,-1.0,,,21
Brandon Boston,LAC,G,-,-,-,-,-,-,-1.0,,,21
Luka Garza,MIN,C,-,-,-,-,-,-,-1.0,,,21
Gui Santos,FA,F,-,-,-,-,-,-,-1.0,,,21
Jonathan Kuminga,GSW,F,166.2,-,-,140.7,191.6,-,-1.0,,,21
Jordan Bowden,FA,G,-,-,-,-,-,-,-1.0,,,21
Sandro Mamukelashvili,SAS,C,191.9,-,-,-,191.9,-,-1.0,,,21
Josh Giddey,OKC,G,90.7,-,125.09,53.9,93.1,-,-1.0,,,21
Moses Moody,GSW,G,-,-,-,-,-,-,-1.0,,,21
Quentin Grimes,NYK,G,-,-,-,-,-,-,-1.0,,,21
Marko Simonovic,FA,C,-,-,-,-,-,-,-1.0,,,21
Jock Landale,HOU,C,192,-,-,-,192,-,-1.0,,,21
Chris Duarte,SAC,F,152.3,-,-,117.4,187.1,-,-1.0,,,21
Jalen Suggs,ORL,G,95.7,-,79.45,125.9,81.8,-,-1.0,,,21
Jeremiah Robinson-Earl,OKC,C,191.2,-,-,-,191.2,-,-1.0,,,21
Bryce Brown,FA,G,-,-,-,-,-,-,-1.0,,,21
Jalen Green,HOU,G,68.1,-,46.24,93.5,64.6,-,-1.0,,,21
Louis King,FA,F,191.6,-,-,-,191.6,-,-1.0,,,21
Omer Yurtseven,UTA,C,192,-,-,-,192,-,-1.0,,,21
Cam Thomas,BKN,G,168.4,-,-,144.9,191.9,-,-1.0,,,21
James Bouknight,CHA,G,191.1,-,-,-,191.1,-,-1.0,,,21
Scottie Barnes,TOR,F,86,-,122.17,53.9,81.9,-,-1.0,,,21
Jose Alvarado,NOP,G,150.6,-,-,150.6,-,-,-1.0,,,21
Jared Butler,WAS,G,192,-,-,-,192,-,-1.0,,,21
Bones Hyland,LAC,G,162,-,-,134.4,189.6,-,-1.0,,,21
Herbert Jones,NOP,F,136.3,-,-,136.3,-,-,-1.0,,,21
Ousmane Dieng,OKC,F,-,-,-,-,-,-,-1.0,,,21
Jaden Hardy,DAL,G,-,-,-,-,-,-,-1.0,,,21
Greg Brown,DAL,F,-,-,-,-,-,-,-1.0,,,21
Trey Murphy,NOP,F,181.2,-,-,-,181.2,-,-1.0,,,21
Neemias Queta,SAC,C,-,-,-,-,-,-,-1.0,,,21
Cade Cunningham,DET,G,46.2,-,42.39,40.1,56,-,-1.0,,,21
Davion Mitchell,SAC,G,153.9,-,143.61,141.9,176.2,-,-1.0,,,21
Kai Jones,CHA,C,191.9,-,-,-,191.9,-,-1.0,,,21
Isaiah Jackson,IND,C,148,-,-,148,-,-,-1.0,,,21
Alperen Sengun,HOU,C,137.1,-,136.44,121.8,153.2,-,-1.0,,,21
Ziaire Williams,MEM,F,192,-,-,-,192,-,-1.0,,,21
Freddie Gillespie,FA,C,-,-,-,-,-,-,-1.0,,,21
Devin Cannady,FA,G,-,-,-,-,-,-,-1.0,,,21
Gabriel Deck,FA,F,-,-,-,-,-,-,-1.0,,,21
