,sci_name,c_name,dist,reprod,cons_status,length,weight,coords,avg_age,habitat
46,Manouria impressa,"['Impressed Tortoise', 'G: Flache Hinterindische Landschildkröte', 'Chinese: 凹甲陆龟 ']","India (Arunachal Pradesh), Myanmar (= Burma) (from the Karenni Hills southward), Laos,
Malaysia, Cambodia [HR 31: 111], China (Hunan, Hainan, Yunnan Provinces), Thailand, Vietnam

Type locality: Siam [= Thailand]  ",oviparous ,VU,14,7,"30.550096845773943, 97.67007504289826",20,tropical forest
47,Psammobates geometricus,"['Geometric Tortoise', 'G: Geometrische Landschildkröte ']","Republic of South Africa (Tulbagh, Paarl, and Malmesbury districts of Cape Province)

Type locality: Asia.  ",oviparous ,CR,6,1.1,"-33.28689230434797, 19.1444041968191",35,coastal
48,Psammobates oculiferus,"['Serrated Tent Tortoise, Kalahari Tent Tortoise, Serrated Tortoise ']","Republic of South Africa (from extreme W Transvaal and the W Orange Free State northwestward), Botswana, Namibia, Zimbabwe

Type locality: ""vom Cap dahin gebracht worden,"" [i.e. Republic of South Africa].  ", ,NT,6,NA,"-21.235808675124883, 22.268067932966648",20,savanna
49,Psammobates tentorius,['Tent Tortoise '],"Namibia (from the Great Namaqualand southeastward),
Republic of South Africa (to Cape Province)

Type locality: ""Habitat in Africa?""  ",oviparous ,NT,6,NA,"-27.341945316362, 17.154819238613985",20,savanna
50,Pyxis arachnoides,"['Madagascan Spider Tortoise', 'G: Madagassische Spinnenschildkröte', 'brygooi: Northern Spider Tortoise ']","Madagascar (along the S coast from the Mahajamba River southward around Cape Sainte-Marie almost to Fort-Dauphin)

Type locality: Unknown; designated as ""Soalara (Baie de Saint-Augustin), sud-ouest de Madagascar"" by Bour 1978:153.

brygooi: SW Madagascar (Mikea Forest). Type locality: “entre Morombe et Tuléar, aux alentours du lac Ihotry, dans la forêt des Mikea”.  ",oviparous ,CR,7,0.8,"-16.10425190382187, 47.194857025575715",70,island
51,Pyxis planicauda,['Madagascan Flat-tailed Tortoise '],"SW Madagascar (vicinity of Morondava)

Type locality: ""Mouroundava, ouest de Madagascar,"" restricted by Bour 1981:165, to ""Morondava, province de Tulear, Madagascar (puirrait etre restrainte a la foret d'Andranomena).""  ", ,CR,7,NA,"-20.402798830589628, 44.32738780773961",50,island
52,Stigmochelys pardalis,['Leopard Tortoise '],"S Sudan (Jumhūriyyat), Republic of South Sudan (RSS), Ethiopia, Somalia, Kenya, Uganda, Tanzania,
Rwanda, Burundi, Zaire, Angola, (Namibia, Mozambique,
Malawi, Zimbabwe, Botswana ?), Swaziland, Zambia

babcocki: Namibia, Uganda, Somalia; Type locality: Mount Debasien, Karamoja, Uganda;

Type locality: ""Promont. Bonae Spei"" (= Cape of Good Hope), Cape Province, Republic of South Africa.  ",oviparous ,LC,16,29,"1.5751246255860716, 36.536906281495085",100,savanna
53,Testudo graeca,"['Mediterranean Spur-thighed Tortoise', 'G: Maurische Landschildkröte', 'Russian: Средиземноморская черепаха ']","S Spain (introduced to Mallorca, Formentera)
Italy incl. Sardinia and Sicily (introduced), France (introduced),
N Greece (including Aegean islands, e.g. Limnos, Lesbos, Chios, Samos, Samothraki),
Serbia, Montenegro, Albania, Romania, Bulgaria, Turkey,
Morocco, Algeria, Tunisia, Libya, Israel, Syria, Jordan, Iran, N Iraq
Russia (eastwards to Transcaucasus; Dagestan),

acording to the 1994 IUCN Red List of Threatened Animals:
Albania, Algeria, Armenia, Azerbaijan, Bulgaria, Egypt, France, E Republic of Georgia, Greece, Iran, Iraq, Israel, Italy, Jordan, Lebanon, Libya, Macedonia, Moldova, Morocco, Romania, Russia, Spain, Syria, Tunisia, Turkey, Turkmenistan

armeniaca: Trans-Caucasus, Iran

anamurensis: Cape Anamur and SW coast of Turkey.

antakyensis: S Turkey

cyrenaica: Libya (endemic)

flavominimaralis: Tunisia

floweri: Negev (S arid Israel); type locality: “Negev”.

ibera: S Serbia, Greece (Lesbos, Samos), Romania through Iran.

lamberti: NW Morocco

nabeulensis: Tunisia, NW Libya; Type locality: Nabeul, N Tunisia

nikolskii: Republic of Georgia, Russia (western Caucasus)

pallasi: Russia (Daghestan)

perses: SE Turkey, NE Iraq, SC Iran (Zagros mountains)

soussensis: Souss valley, Morocco; Type locality: Vincity of Agadir, 30°28'N, 9°55'W.

terrestris: Israel, Lebanon, Jordan, Syria, SE Turkey.

zarudnyi: E Iran; Type locality: “Birdschan” [Birjand, South Khorasan Province, Iran, 32.87 N 59.22 E].

Type locality: ""Africa,"" according to Linnaeus 1758:352; however, the caption of the holotype, Plate 204 of Edwards 1751 reads ""Loc. Santa Cruz in West Barbary"" (=old fort Santa Cruz near Oran, Algeria, according to Strauch (1862:67). Mertens and Müller (1928:22), designated it as ""Santa Cruz, in der Westberberei, Nordafrika"" (after KING & BURKE 1989).  ",T graeca has been reported to have temperature-dependent sex determination (TSD) (Pieau 1998) ,VU,8,13,"40.97328469565207, 14.738663294078368",125,coastal
54,Testudo hermanni,"['Hermann’s Tortoise', 'G: Griechische Landschildkröte', 'Eastern Hermann’s Tortoise [boettgeri]', 'Western Hermann’s Tortoise [hermanni]', 'Croatian: kopnena kornjača ']","E Spain (also introduced to the Balearics: Mallorca, Menorca),
S France (incl. Corsica),
Italy (incl. Sardinia, Sicily, Elba, Pianosa, Lampedusa island),
Albania, Croatia (including some Adriatic islands),
Bosnia and Hercegovina, Monte Negro, Macedonia, Serbia,
Bulgaria, Romania,
Greece (incl. the Ionian Islands, Corfu = Corfou)
E Turkey

boettgeri: coastal regions of the former Yugoslavia, through Albania, Greece, Bulgaria, to the Black Sea. Type locality: Orsova, Banat.

Type locality: unknown (fide WERMUTH & MERTENS 1977)  ",oviparous ,VU,10,8,"40.6073025198516, 15.222061729639778",90,grassland
55,Testudo horsfieldii,"['Horsfield’s Tortoise', 'G: Steppenschildkröte', 'Fergana Valley Steppe Tortoise [bogdanovi]', 'Kazakhstan Steppe Tortoise [kazachstanica]', 'Turkmenistan Steppe Tortoise [kuznetzovi]', 'Kopet-Dag Steppe Tortoise [rustamovi]', 'Chinese: 四爪陆龟 ']","Azerbaijan, S Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, N/E Iran, Afghanistan, N Pakistan, N/W Baluchistan, NW China (Xinjiang); elevations up to 2400 m (in Afghanistan fide WERNING & WOLF 2007).

Type locality: Kabul, Afghanistan

bogdanovi: Kyrgyzstan, Tajikistan, Uzbekistan; Type locality: “Узбекистан (Окрестности городов Бухара, Самарканд, Карши), Восточный Туркменистан (окрестности Чарджоу) и Киргизстан (Чуйская долина и окрестности города Ош)” [Uzbekistan (vicinity of the cities of Bukhara, Samarkand, Karshy), East Turkmenistan (near Chardzhou) and Kyrgyzstan (Chuy valley and vicinity of Osh)]. Restricted to “Ферганская долина” [Ferghana Valley] [Uzbekistan] by Chkhikvadze et al. (2009:49).

kazachstanica: Afghanistan, China (Xinjiang), Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan; Type locality: “Южное Прибалхашье, поселок Каратал” [south- ern Pribalkhashye (= Balkash), Karatal village]” [Kazakhstan].

kuznetzovi: Turkmenistan, Uzbekistan; Type locality: “впадины Акчакая (Северный Туркменистан, к западу от г. Дашогуз – бывш. Ташауз)” [Akchakai depression (North Turkmenistan, west of the city of Dashoguz – prev. Tashauz)].

rustamovi: Afghanistan, Iran (Golestan, Khorasan Razavi, North Khorasan, Semnan), Turkmenistan; Type locality: “село Мадау (Кизыл-Атрекский район), Юго-Западный Туркменистан” [Madau Village, Kizyl Atrek Region, south-western Turkmenistan].  ","Testudo horsfieldii and Testudo graeca ibera have been reported to produce viable hybrids (KABISCH 2001) T horsfieldii produced also hybrids with T hermanni boettgeri (STEINLE 1977, FRITZ 1995) ",VU,10,3.3,"45.521720499130325, 57.90001573381836",75,grassland
